reaction_id,mass_transition_round,mass_transition,substrate_id,substrate_mnx_id,substrate_mm,product_id,product_mnx_id,product_mm
25808,19.04,19.042199159999996,296,MNXM9073,161.047678464,27514,MNXM36534,180.089877624
16273,-77.95,-77.95177761782,23512,MNXM1170,270.98715382573,17537,MNXM736,193.03537620791
32991,-86.07,-86.07316494,3725,MNXM9096,291.13267104,3734,MNXM1024,205.0595061
13931,2.02,2.015650063999999,21428,MNXM4040,120.057514876,12327,MNXM3486,122.07316494
9292,-15.99,-15.994914620000003,14145,MNXM4661,136.052429496,21428,MNXM4040,120.057514876
17626,1.03,1.0316344759999936,12767,MNXM4183,166.06299418,1161,MNXM3848,167.094628656
13400,-77.95,-77.95177761782,23512,MNXM1170,270.98715382573,17537,MNXM736,193.03537620791
922,2.04,2.03891092808999,10448,MNXM97102,180.03023125191,22640,MNXM97190,182.06914218
12800,42.01,42.010564684,3559,MNXM25,116.01205576782002,18954,MNXM716,158.02262045182002
9390,746.08,746.0828149217301,10435,MNXM1639,151.04006766391,18858,MNXM36544,897.1228825856401
40477,2.04,2.03891092808999,2658,MNXM1633,168.042258736,21893,MNXM31869,170.08116966409
20416,2.04,2.03891092808999,19740,MNXM1401,152.047344116,13928,MNXM205,154.08625504409
8376,-14.99,-14.987638167910006,13777,MNXM192,103.063328528,23441,MNXM422,88.07569036009
39692,-14.99,-14.987638167910006,22029,MNXM31169,195.01786941982002,10448,MNXM97102,180.03023125191
36646,-18.01,-18.01056468400043,11172,MNXM2334,849.1228825856401,24432,MNXM2159,831.1123179016397
41047,15.99,15.994914620000003,13069,MNXM164,137.02441759991,629,MNXM204,153.01933221991
5258,77.95,77.95177761782,3405,MNXM1802,135.053157768,20287,MNXM759,213.00493538582
3543,77.95,77.95177761782,3405,MNXM1802,135.053157768,20287,MNXM759,213.00493538582
18908,2.02,2.015650063999999,21374,MNXM4077,120.057514876,7903,MNXM3500,122.07316494
32906,-14.99,-14.987638167910006,22641,MNXM3331,135.04515304391,21374,MNXM4077,120.057514876
34450,-31.99,-31.989829240000006,1397,MNXM2927,156.042258736,11481,MNXM961,124.052429496
9734,-18.01,-18.010564684000002,23773,MNXM7058,150.044070304,9323,MNXM6119,132.03350562
41546,2.02,2.0156500639999706,27130,MNXM963,193.03537620791002,7799,MNXM341,195.05102627191
28450,2.02,2.015650063999999,20355,MNXM1993,130.017855556,9323,MNXM6119,132.03350562
5330,-209.99,-209.99403635382,20675,MNXM6123,340.01189190982,20355,MNXM1993,130.017855556
42039,2.04,2.03891092808999,10759,MNXM1057,175.063328528,18372,MNXM357,177.10223945609
12712,20.05,20.049475612089992,16171,MNXM9072,161.047678464,2744,MNXM3508,181.09715407609
