EC-Number	Pfam-Domain	Confidence-Score	Type	In-InterPro
2.1.1.293	PF00891	0.1082616667	GOLD	No
6.3.1.8	PF05257	0.3408124444	GOLD	No
6.3.1.8	PF03738	0.4847958333	GOLD	No
4.2.1.109	PF00596	0.7407663889	GOLD	No
3.1.3.90	PF03372	0.0467071778	SILVER	No
2.7.7.19	PF12626	0.4649768333	GOLD	Yes
2.7.7.19	PF12629	0.3889125	GOLD	Yes
2.7.7.19	PF01743	0.3090328222	SILVER	No
2.7.7.19	PF04928	0.3477015	GOLD	Yes
2.7.7.19	PF04926	0.3317275556	GOLD	Yes
2.7.7.19	PF01909	0.1591172778	GOLD	No
2.7.7.19	PF03828	0.3281302833	GOLD	No
2.7.7.19	PF12630	0.3889125	GOLD	Yes
2.7.7.19	PF03296	0.3889125	GOLD	Yes
2.7.7.19	PF05572	0.0450615	GOLD	No
2.7.7.18	PF01467	0.6008525	GOLD	No
2.7.7.15	PF01467	0.0819653333	GOLD	No
2.7.7.14	PF01467	0.064915	SILVER	No
2.7.7.13	PF01050	0.3177226111	GOLD	Yes
2.7.7.13	PF00483	0.236299	GOLD	No
2.7.7.12	PF02744	0.9617466111	GOLD	Yes
2.7.7.12	PF01087	0.990631	GOLD	Yes
1.1.1.239	PF00106	0.0983362667	GOLD	No
1.4.3.16	PF00890	0.5466351111	GOLD	No
1.4.3.16	PF02910	0.6339920556	GOLD	No
4.2.1.154	PF04673	0.6111111111	GOLD	No
4.2.1.154	PF03992	0.1347422222	GOLD	No
1.4.3.13	PF01186	0.6111111111	GOLD	No
1.4.3.13	PF09248	0.0481125	GOLD	No
1.4.3.13	PF00530	0.3774895556	GOLD	No
1.4.1.18	PF03435	0.1817262222	SILVER	No
1.4.3.10	PF01593	0.0717828889	SILVER	No
1.1.3.43	PF00732	0.0531247	SILVER	No
1.1.3.43	PF05199	0.05205785	SILVER	No
1.4.1.16	PF01113	0.0753702778	GOLD	No
1.1.1.234	PF01370	0.0441734928	SILVER	No
1.1.1.237	PF00389	0.0462943	SILVER	No
1.1.1.236	PF00106	0.0417334278	SILVER	No
2.1.1.159	PF03492	0.2051522222	GOLD	No
1.1.1.140	PF00106	0.0464132222	GOLD	No
6.3.2.19	PF09288	0.0603590944	SILVER	No
6.3.2.19	PF13765	0.05916745	GOLD	No
6.3.2.19	PF00179	0.6340005	GOLD	No
6.3.2.19	PF12678	0.0426714944	SILVER	No
2.4.1.80	PF13506	0.6065726111	GOLD	Yes
4.2.1.101	PF00378	0.0474507778	SILVER	No
3.5.3.3	PF00557	0.0706263889	GOLD	No
3.5.3.3	PF01321	0.1507694444	GOLD	No
4.4.1.26	PF07876	0.5555555556	GOLD	No
6.3.1.2	PF03951	0.9514833333	GOLD	Yes
6.3.1.2	PF00120	0.978668	GOLD	Yes
6.3.1.2	PF12437	0.1012948333	GOLD	Yes
4.4.1.23	PF01717	0.0452481111	SILVER	No
4.4.1.22	PF04828	0.9796521667	GOLD	Yes
4.4.1.21	PF02664	0.9998581111	GOLD	Yes
4.4.1.20	PF01124	0.3085388889	GOLD	No
3.4.24.24	PF00040	0.3632502222	GOLD	No
3.4.24.24	PF01471	0.1991933889	GOLD	No
3.4.24.24	PF00413	0.2165043889	GOLD	No
3.4.24.25	PF02868	0.1791644444	SILVER	No
3.4.24.25	PF04151	0.2267264444	SILVER	No
3.4.24.25	PF03413	0.1908358333	SILVER	No
3.4.24.25	PF01447	0.1789415	SILVER	No
1.5.4.1	PF13417	0.0604368889	SILVER	No
4.2.1.105	PF07859	0.10499	GOLD	No
3.4.24.26	PF02868	0.1684768889	SILVER	No
3.4.24.26	PF03413	0.1599436667	SILVER	No
3.4.24.26	PF01447	0.1682757222	SILVER	No
3.4.24.11	PF05649	0.4420839444	GOLD	No
3.4.24.11	PF01431	0.4422974444	GOLD	No
3.4.24.27	PF02868	0.3239108333	GOLD	No
3.4.24.27	PF03413	0.3067470556	GOLD	No
3.4.24.27	PF01447	0.3192364444	GOLD	No
2.5.1.78	PF00885	0.9768203333	GOLD	Yes
2.1.1.296	PF01728	0.056525	GOLD	No
1.8.5.1	PF00043	0.0725438967	SILVER	No
1.8.5.1	PF13409	0.1583208722	SILVER	No
1.8.5.1	PF13417	0.1732764222	GOLD	No
2.1.1.225	PF05253	0.5555555556	GOLD	No
2.1.1.225	PF11722	0.5270461111	GOLD	Yes
2.1.1.225	PF05206	0.5555555556	GOLD	Yes
1.8.5.3	PF04879	0.0552396667	SILVER	No
1.8.5.3	PF00384	0.1114692222	GOLD	No
1.8.5.3	PF01568	0.1183538944	GOLD	No
1.8.5.2	PF07680	0.4268578889	GOLD	No
1.8.5.2	PF04173	0.4124790556	GOLD	No
1.8.5.4	PF07992	0.0554489611	GOLD	No
2.5.1.73	PF05889	0.6338755556	GOLD	No
2.5.1.72	PF02657	0.0588367156	SILVER	No
2.5.1.72	PF02445	0.9998297222	GOLD	Yes
2.1.1.41	PF08241	0.3529053889	GOLD	No
2.1.1.41	PF08498	0.8166629444	GOLD	No
3.4.24.67	PF01400	0.1275848889	SILVER	No
2.1.1.43	PF00628	0.14347245	GOLD	No
2.1.1.43	PF05965	0.135872	GOLD	No
2.1.1.43	PF08236	0.1804171167	GOLD	Yes
2.1.1.43	PF01429	0.1248224444	GOLD	No
2.1.1.43	PF08123	0.4789975889	GOLD	Yes
2.1.1.43	PF08711	0.0415957222	SILVER	No
2.1.1.43	PF01753	0.1048284611	GOLD	No
2.1.1.43	PF00096	0.0909126183	SILVER	No
2.1.1.43	PF00397	0.0677351556	SILVER	No
2.1.1.43	PF11616	0.1171141833	SILVER	Yes
2.1.1.43	PF05964	0.1358247778	GOLD	No
2.1.1.43	PF00076	0.0845184611	SILVER	No
2.1.1.43	PF02182	0.1214612778	GOLD	No
2.1.1.43	PF00385	0.0722749722	SILVER	No
2.1.1.43	PF01498	0.0440755444	SILVER	No
2.1.1.43	PF07496	0.0422569667	SILVER	No
2.1.1.43	PF09273	0.1077127556	SILVER	No
2.1.1.43	PF00856	0.7428503889	GOLD	No
2.1.1.43	PF00855	0.113707	SILVER	No
2.1.1.43	PF10440	0.0675134889	SILVER	Yes
2.1.1.43	PF02008	0.0434383611	GOLD	No
2.1.1.43	PF11767	0.2595013889	GOLD	Yes
2.1.1.43	PF11764	0.3108907778	GOLD	Yes
2.1.1.43	PF01352	0.0698028944	GOLD	No
2.1.1.43	PF01359	0.0419393611	SILVER	No
2.1.1.43	PF00505	0.0540270556	GOLD	No
2.1.1.44	PF10017	0.5039483333	GOLD	No
2.1.1.45	PF00303	0.989322	GOLD	Yes
2.1.1.45	PF00186	0.0838088433	SILVER	No
2.1.1.46	PF00891	0.1452887111	SILVER	No
2.1.1.46	PF08100	0.1757733889	SILVER	No
2.1.1.49	PF01234	0.3798156667	SILVER	No
2.1.1.226	PF01479	0.0524026667	SILVER	No
2.1.1.226	PF01728	0.0720467222	SILVER	No
2.1.1.181	PF05971	0.9397656667	GOLD	Yes
2.7.1.59	PF00480	0.597862	GOLD	No
2.7.1.59	PF01869	0.1993477778	GOLD	No
2.1.1.297	PF13847	0.2718929278	SILVER	No
2.1.1.297	PF05175	0.4188683389	GOLD	No
6.3.3.6	PF00733	0.0892712778	SILVER	No
6.3.3.6	PF09147	0.6111111111	GOLD	No
2.7.1.55	PF00480	0.1803637778	SILVER	No
6.2.1.17	PF13193	0.0576638889	GOLD	No
6.2.1.17	PF00501	0.050794	GOLD	No
2.7.1.56	PF00294	0.1178704	SILVER	No
6.2.1.12	PF13193	0.1591255	GOLD	No
6.2.1.12	PF00501	0.1465558833	SILVER	No
2.7.1.50	PF02581	0.0472497633	SILVER	No
2.7.1.50	PF02110	0.998855	GOLD	Yes
2.7.1.53	PF00370	0.0500209444	GOLD	No
2.7.1.53	PF02782	0.0489863889	GOLD	No
2.7.1.52	PF07959	0.4994404444	GOLD	No
6.3.3.3	PF01656	0.1359290111	SILVER	No
6.3.3.3	PF08241	0.0491290917	SILVER	No
2.4.1.85	PF00201	0.0546045556	SILVER	No
6.3.3.2	PF02971	0.1434438889	GOLD	No
6.3.3.2	PF07837	0.1434438889	GOLD	No
6.3.3.2	PF01812	0.9301040556	GOLD	No
1.1.1.23	PF00815	0.9960798333	GOLD	Yes
3.5.3.6	PF02274	0.9191511667	GOLD	Yes
4.2.1.150	PF00378	0.0489139444	GOLD	No
4.1.1.43	PF00205	0.0549001222	SILVER	No
1.1.1.53	PF00106	0.0535770056	SILVER	No
1.1.1.50	PF00248	0.0551897444	SILVER	No
1.1.1.51	PF00106	0.0821998611	SILVER	No
1.1.1.57	PF08125	0.0786568889	SILVER	No
1.1.1.57	PF03786	0.0633116667	GOLD	No
1.1.1.57	PF01232	0.0783317222	SILVER	No
1.2.7.1	PF10371	0.4547885556	SILVER	No
1.2.7.1	PF01558	0.6188448889	GOLD	No
1.2.7.1	PF01855	0.3023267222	GOLD	No
1.2.7.1	PF02775	0.0896544778	GOLD	No
2.3.1.169	PF03598	0.6557287778	GOLD	No
1.2.7.3	PF02783	0.0534583333	GOLD	No
1.2.7.3	PF03201	0.0462962778	GOLD	No
1.2.7.3	PF01558	0.1428905	GOLD	No
1.2.7.3	PF01855	0.1508367778	GOLD	No
1.2.7.3	PF01913	0.0444800556	GOLD	No
1.2.7.3	PF02741	0.0444800556	GOLD	No
1.2.7.3	PF02775	0.0460282222	GOLD	No
1.2.7.3	PF02241	0.0534583333	GOLD	No
1.2.7.3	PF02240	0.0483548889	GOLD	No
1.2.7.5	PF02730	0.5735722778	SILVER	No
1.2.7.5	PF01314	0.5736314444	SILVER	No
1.2.7.4	PF03063	0.0763698333	SILVER	No
1.2.7.7	PF01855	0.1301097778	GOLD	No
1.2.7.7	PF01558	0.1729108611	GOLD	No
1.2.7.6	PF02730	0.2355341667	SILVER	No
1.2.7.6	PF01314	0.2355251667	SILVER	No
2.3.1.160	PF02458	0.1211916333	SILVER	No
5.3.99.11	PF01261	0.0619524611	SILVER	No
2.3.1.162	PF02458	0.1512783333	GOLD	No
2.3.1.164	PF03417	0.6540041111	GOLD	No
2.3.1.165	PF00698	0.0863787222	SILVER	No
2.3.1.165	PF14765	0.1402300556	SILVER	No
2.3.1.165	PF02801	0.0764578333	SILVER	No
2.3.1.165	PF00109	0.0763465278	SILVER	No
2.3.1.165	PF00550	0.0613432389	SILVER	No
2.3.1.165	PF08659	0.1437157778	SILVER	No
2.3.1.166	PF02458	0.0997805556	SILVER	No
2.3.1.167	PF02458	0.1083734444	SILVER	No
6.3.5.5	PF00117	0.3211098556	GOLD	No
6.3.5.5	PF02786	0.5263493333	GOLD	No
6.3.5.5	PF02787	0.6608558889	GOLD	Yes
6.3.5.5	PF02142	0.3791611667	GOLD	No
6.3.5.5	PF00988	0.7090147222	GOLD	Yes
6.3.5.5	PF00289	0.5249420556	GOLD	No
1.14.17.4	PF03171	0.2731991111	SILVER	No
1.14.17.4	PF14226	0.3250134444	SILVER	No
2.4.1.134	PF14833	0.0699933333	GOLD	No
2.4.1.134	PF01762	0.2220393889	GOLD	No
3.1.1.34	PF01477	0.4210384611	SILVER	No
3.1.1.34	PF00151	0.5022393889	GOLD	No
3.1.1.35	PF03349	0.0498380556	GOLD	No
2.7.8.29	PF03034	0.5079682778	GOLD	No
2.4.1.238	PF00201	0.0426091667	SILVER	No
1.7.1.2	PF00175	0.0523802111	GOLD	No
1.7.1.2	PF00174	0.1068437944	GOLD	No
1.7.1.2	PF00173	0.0853285556	GOLD	No
1.7.1.2	PF03404	0.1054370167	GOLD	No
1.7.1.2	PF00970	0.0623968444	GOLD	No
1.7.1.3	PF00175	0.0884975794	SILVER	No
1.7.1.3	PF00174	0.2810994722	GOLD	No
1.7.1.3	PF00173	0.2100849444	GOLD	No
1.7.1.3	PF03404	0.282702	GOLD	No
1.7.1.3	PF00970	0.1062951111	SILVER	No
1.7.1.1	PF00970	0.1689453	GOLD	No
1.7.1.1	PF00175	0.1455708389	GOLD	No
1.7.1.1	PF00174	0.4070402222	GOLD	No
1.7.1.1	PF00173	0.3351919444	GOLD	No
1.7.1.1	PF03404	0.4248981111	GOLD	No
1.7.1.6	PF03358	0.0656117278	SILVER	No
1.7.1.7	PF00478	0.6448473889	GOLD	No
1.7.1.4	PF07992	0.0649618889	GOLD	No
1.7.1.4	PF04324	0.2993583333	GOLD	No
1.7.1.4	PF00070	0.0579244444	GOLD	No
1.7.1.4	PF01077	0.0982904444	GOLD	No
1.7.1.4	PF00355	0.0608477722	GOLD	No
2.4.1.230	PF03636	0.2765793889	GOLD	No
2.4.1.230	PF03633	0.2929498333	GOLD	No
2.4.1.230	PF03632	0.2770806111	GOLD	No
6.3.5.9	PF07685	0.4917851667	GOLD	No
6.3.5.9	PF01656	0.4791692778	GOLD	No
3.4.14.12	PF00326	0.1063431111	GOLD	No
3.4.14.12	PF00930	0.1295949444	GOLD	No
3.4.14.10	PF00082	0.2110141944	SILVER	Yes
3.4.14.10	PF05922	0.0414086667	SILVER	No
3.4.14.10	PF12583	0.2439831111	SILVER	No
3.4.14.10	PF12580	0.6229058889	GOLD	Yes
3.4.14.11	PF02129	0.9461505	SILVER	Yes
3.4.14.11	PF08530	0.9454814444	SILVER	Yes
3.4.14.11	PF09168	0.9523210556	GOLD	Yes
1.5.8.4	PF08669	0.0994573889	GOLD	No
1.5.8.4	PF01571	0.0983079444	GOLD	No
1.5.8.4	PF01266	0.0695764444	GOLD	No
1.14.13.114	PF01494	0.0740247778	GOLD	No
1.14.13.113	PF01494	0.0957122389	GOLD	No
1.7.7.1	PF04324	0.0536181944	SILVER	No
1.7.7.1	PF01077	0.1837793333	GOLD	No
1.5.8.2	PF00724	0.0944306111	SILVER	No
2.1.1.219	PF08704	0.2152626111	GOLD	No
4.2.1.83	PF02585	0.07471465	SILVER	No
4.3.2.1	PF14698	0.9631927778	GOLD	Yes
4.3.2.1	PF00206	0.7301755556	GOLD	No
2.1.1.210	PF00891	0.0977633333	GOLD	No
2.1.1.211	PF07757	0.6111111111	GOLD	Yes
2.1.1.212	PF00891	0.121007	GOLD	No
2.1.1.212	PF08100	0.1453367222	GOLD	No
2.1.1.213	PF01170	0.1258077778	GOLD	No
2.1.1.213	PF02926	0.0656850556	GOLD	No
2.1.1.214	PF01170	0.0702438222	SILVER	No
2.1.1.215	PF02005	0.1343879444	SILVER	No
2.1.1.216	PF00642	0.06486455	GOLD	No
2.1.1.216	PF02005	0.9610841111	GOLD	Yes
2.1.1.217	PF00588	0.0664016667	GOLD	No
2.1.1.217	PF04816	0.6059431667	GOLD	No
3.5.4.3	PF01979	0.0948651111	GOLD	No
2.4.1.198	PF08510	0.2891380556	GOLD	Yes
2.4.1.198	PF05024	0.213237	GOLD	No
2.4.1.198	PF10181	0.2613621667	GOLD	Yes
2.4.1.198	PF08288	0.2512756111	GOLD	Yes
2.4.1.198	PF06432	0.3159692778	GOLD	Yes
3.5.4.1	PF00383	0.0901813333	GOLD	No
3.5.4.1	PF07969	0.1192498333	SILVER	No
3.4.23.15	PF00026	0.3539016111	GOLD	No
3.4.23.16	PF00075	0.2277159444	GOLD	No
3.4.23.16	PF00077	0.4116393333	GOLD	No
3.4.23.16	PF00607	0.4650565944	GOLD	No
3.4.23.16	PF02022	0.3850014444	GOLD	No
3.4.23.16	PF00552	0.3810503889	SILVER	No
3.4.23.16	PF06815	0.4788846667	GOLD	No
3.4.23.16	PF06817	0.4248473889	GOLD	No
3.4.23.16	PF00665	0.3001657222	GOLD	No
3.4.23.16	PF00078	0.2797656667	GOLD	No
3.4.23.16	PF00098	0.4272387833	GOLD	No
3.4.23.16	PF00540	0.5052667222	GOLD	No
3.4.23.12	PF00026	0.0476385	SILVER	No
5.5.1.5	PF10282	0.1178237778	SILVER	No
1.2.3.4	PF00190	0.4115322222	GOLD	No
1.2.3.7	PF03450	0.19547965	SILVER	No
1.2.3.7	PF00941	0.1954396444	SILVER	No
1.2.3.7	PF01799	0.1933188	SILVER	No
1.2.3.7	PF02738	0.18258015	SILVER	No
1.2.3.7	PF01315	0.1895322556	SILVER	No
1.2.3.7	PF00111	0.1276290278	SILVER	No
1.2.3.1	PF03450	0.3587741667	GOLD	No
1.2.3.1	PF00941	0.3587831667	GOLD	No
1.2.3.1	PF01799	0.3544157778	GOLD	No
1.2.3.1	PF02738	0.3333825389	GOLD	No
1.2.3.1	PF01315	0.3448450833	GOLD	No
1.2.3.1	PF00111	0.2330533667	GOLD	No
3.4.23.19	PF01828	0.4923132778	GOLD	No
1.2.3.3	PF02775	0.0556534444	SILVER	No
1.2.3.3	PF00205	0.0793362778	SILVER	No
1.2.3.3	PF02776	0.0568311111	SILVER	No
